file_num,bag_idx,instance_idx,prior_score
1,0,0,2.4519616455276935e-05
1,0,1,0.00012015421314976077
1,0,2,0.0003970738631317273
1,0,3,3.967948078831791e-05
1,0,4,6.0557291258283506e-05
1,0,5,0.00024212038014940687
1,0,6,0.0004043620902120634
1,0,7,0.0001183860282695948
1,0,8,0.00018312445114720881
1,0,9,0.0004544094897767715
1,0,10,0.0005380543737663804
1,0,11,0.0003112041007595525
1,0,12,7.233688103737601e-05
1,0,13,1.213784845703669e-05
1,0,14,4.534654283535343e-05
1,0,15,0.00012687021869435937
1,0,16,2.9770841275875475e-05
1,0,17,2.1462217151242838e-05
1,0,18,0.00033332035622351945
1,0,19,0.0002063438171923547
1,0,20,3.71161003555338e-05
1,0,21,0.00011542917955659081
1,0,22,0.00015540316274334796
1,0,23,0.001596060437463066
1,0,24,0.00012553526996383373
1,0,25,0.000271038065596341
1,0,26,7.265237504834533e-05
1,0,27,0.0009041119610656085
1,0,28,0.0006184642492815535
1,0,29,0.0003450387571335857
1,0,30,0.00025111178074388343
1,0,31,6.800465936775012e-05
1,0,32,7.790607297010036e-05
1,0,33,0.0001100320372149107
1,0,34,0.004187196226547473
1,0,35,0.0009210420505738003
1,0,36,3.6319589662592994e-07
1,0,37,2.806924615805794e-07
1,0,38,2.533340049842039e-07
1,0,39,2.7959608382275264e-09
1,0,40,3.38932923644171e-09
1,0,41,1.2599631055261424e-08
1,0,42,3.3589060006790697e-09
1,0,43,1.0978273940366148e-08
1,0,44,3.2863038325685137e-09
1,0,45,2.129488268573087e-07
1,0,46,1.0250171558261576e-07
1,0,47,2.1471203344632356e-07
1,0,48,2.7536227954408762e-08
1,0,49,1.90280301686335e-08
1,0,50,1.4346094600990188e-08
1,0,51,6.105280406820783e-08
1,0,52,1.9828035327032898e-08
1,0,53,3.1743841270939465e-08
1,0,54,4.449944721172266e-08
1,0,55,1.469406407724947e-08
1,0,56,1.2219356333921357e-06
1,0,57,3.3000469787988883e-07
1,0,58,4.95365823243801e-07
1,0,59,0.0001550481187980837
1,1,0,6.313841816994982e-07
1,1,1,4.772456280523798e-07
1,1,2,3.866076561925841e-08
1,1,3,8.682552594173992e-08
1,1,4,3.730272582233778e-08
1,1,5,8.70550998243152e-08
1,1,6,7.136129124524577e-08
1,1,7,3.165283366938977e-08
1,1,8,4.6539081879048e-08
1,1,9,1.452536184072948e-07
