file_num,bag_idx,instance_idx,bag_label,instance_label,instance_start_sec,npy_file
1,4,0,1,0,240.0,file_01_bag_004_label_1.npy
1,4,1,1,0,241.0,file_01_bag_004_label_1.npy
1,4,2,1,0,242.0,file_01_bag_004_label_1.npy
1,4,3,1,0,243.0,file_01_bag_004_label_1.npy
1,4,4,1,0,244.0,file_01_bag_004_label_1.npy
1,4,5,1,0,245.0,file_01_bag_004_label_1.npy
1,4,6,1,0,246.0,file_01_bag_004_label_1.npy
1,4,7,1,0,247.0,file_01_bag_004_label_1.npy
1,4,8,1,0,248.0,file_01_bag_004_label_1.npy
1,4,9,1,0,249.0,file_01_bag_004_label_1.npy
1,4,10,1,0,250.0,file_01_bag_004_label_1.npy
1,4,11,1,0,251.0,file_01_bag_004_label_1.npy
1,4,12,1,0,252.0,file_01_bag_004_label_1.npy
1,4,13,1,0,253.0,file_01_bag_004_label_1.npy
1,4,14,1,0,254.0,file_01_bag_004_label_1.npy
1,4,15,1,0,255.0,file_01_bag_004_label_1.npy
1,4,16,1,0,256.0,file_01_bag_004_label_1.npy
1,4,17,1,0,257.0,file_01_bag_004_label_1.npy
1,4,18,1,0,258.0,file_01_bag_004_label_1.npy
1,4,19,1,0,259.0,file_01_bag_004_label_1.npy
1,4,20,1,0,260.0,file_01_bag_004_label_1.npy
1,4,21,1,0,261.0,file_01_bag_004_label_1.npy
1,4,22,1,0,262.0,file_01_bag_004_label_1.npy
1,4,23,1,0,263.0,file_01_bag_004_label_1.npy
1,4,24,1,0,264.0,file_01_bag_004_label_1.npy
1,4,25,1,0,265.0,file_01_bag_004_label_1.npy
1,4,26,1,0,266.0,file_01_bag_004_label_1.npy
1,4,27,1,0,267.0,file_01_bag_004_label_1.npy
1,4,28,1,0,268.0,file_01_bag_004_label_1.npy
1,4,29,1,0,269.0,file_01_bag_004_label_1.npy
1,4,30,1,0,270.0,file_01_bag_004_label_1.npy
1,4,31,1,0,271.0,file_01_bag_004_label_1.npy
1,4,32,1,0,272.0,file_01_bag_004_label_1.npy
1,4,33,1,0,273.0,file_01_bag_004_label_1.npy
1,4,34,1,0,274.0,file_01_bag_004_label_1.npy
1,4,35,1,0,275.0,file_01_bag_004_label_1.npy
1,4,36,1,0,276.0,file_01_bag_004_label_1.npy
1,4,37,1,0,277.0,file_01_bag_004_label_1.npy
1,4,38,1,1,278.0,file_01_bag_004_label_1.npy
1,4,39,1,0,279.0,file_01_bag_004_label_1.npy
1,4,40,1,0,280.0,file_01_bag_004_label_1.npy
1,4,41,1,0,281.0,file_01_bag_004_label_1.npy
1,4,42,1,0,282.0,file_01_bag_004_label_1.npy
1,4,43,1,0,283.0,file_01_bag_004_label_1.npy
1,4,44,1,0,284.0,file_01_bag_004_label_1.npy
1,4,45,1,0,285.0,file_01_bag_004_label_1.npy
1,4,46,1,0,286.0,file_01_bag_004_label_1.npy
1,4,47,1,0,287.0,file_01_bag_004_label_1.npy
1,4,48,1,0,288.0,file_01_bag_004_label_1.npy
1,4,49,1,0,289.0,file_01_bag_004_label_1.npy
1,4,50,1,0,290.0,file_01_bag_004_label_1.npy
1,4,51,1,0,291.0,file_01_bag_004_label_1.npy
1,4,52,1,0,292.0,file_01_bag_004_label_1.npy
1,4,53,1,0,293.0,file_01_bag_004_label_1.npy
1,4,54,1,0,294.0,file_01_bag_004_label_1.npy
1,4,55,1,0,295.0,file_01_bag_004_label_1.npy
1,4,56,1,1,296.0,file_01_bag_004_label_1.npy
1,4,57,1,1,297.0,file_01_bag_004_label_1.npy
1,4,58,1,0,298.0,file_01_bag_004_label_1.npy
1,4,59,1,0,299.0,file_01_bag_004_label_1.npy
1,6,0,1,1,360.0,file_01_bag_006_label_1.npy
1,6,1,1,0,361.0,file_01_bag_006_label_1.npy
1,6,2,1,0,362.0,file_01_bag_006_label_1.npy
1,6,3,1,0,363.0,file_01_bag_006_label_1.npy
1,6,4,1,0,364.0,file_01_bag_006_label_1.npy
1,6,5,1,0,365.0,file_01_bag_006_label_1.npy
1,6,6,1,0,366.0,file_01_bag_006_label_1.npy
1,6,7,1,0,367.0,file_01_bag_006_label_1.npy
1,6,8,1,0,368.0,file_01_bag_006_label_1.npy
1,6,9,1,0,369.0,file_01_bag_006_label_1.npy
1,6,10,1,0,370.0,file_01_bag_006_label_1.npy
1,6,11,1,0,371.0,file_01_bag_006_label_1.npy
1,6,12,1,0,372.0,file_01_bag_006_label_1.npy
1,6,13,1,0,373.0,file_01_bag_006_label_1.npy
1,6,14,1,0,374.0,file_01_bag_006_label_1.npy
1,6,15,1,0,375.0,file_01_bag_006_label_1.npy
1,6,16,1,0,376.0,file_01_bag_006_label_1.npy
1,6,17,1,0,377.0,file_01_bag_006_label_1.npy
1,6,18,1,0,378.0,file_01_bag_006_label_1.npy
1,6,19,1,0,379.0,file_01_bag_006_label_1.npy
1,6,20,1,0,380.0,file_01_bag_006_label_1.npy
1,6,21,1,0,381.0,file_01_bag_006_label_1.npy
1,6,22,1,0,382.0,file_01_bag_006_label_1.npy
1,6,23,1,0,383.0,file_01_bag_006_label_1.npy
1,6,24,1,0,384.0,file_01_bag_006_label_1.npy
1,6,25,1,0,385.0,file_01_bag_006_label_1.npy
1,6,26,1,0,386.0,file_01_bag_006_label_1.npy
1,6,27,1,0,387.0,file_01_bag_006_label_1.npy
1,6,28,1,0,388.0,file_01_bag_006_label_1.npy
1,6,29,1,0,389.0,file_01_bag_006_label_1.npy
1,6,30,1,0,390.0,file_01_bag_006_label_1.npy
1,6,31,1,0,391.0,file_01_bag_006_label_1.npy
1,6,32,1,0,392.0,file_01_bag_006_label_1.npy
1,6,33,1,0,393.0,file_01_bag_006_label_1.npy
1,6,34,1,0,394.0,file_01_bag_006_label_1.npy
1,6,35,1,0,395.0,file_01_bag_006_label_1.npy
1,6,36,1,0,396.0,file_01_bag_006_label_1.npy
1,6,37,1,0,397.0,file_01_bag_006_label_1.npy
1,6,38,1,0,398.0,file_01_bag_006_label_1.npy
1,6,39,1,0,399.0,file_01_bag_006_label_1.npy
1,6,40,1,0,400.0,file_01_bag_006_label_1.npy
1,6,41,1,0,401.0,file_01_bag_006_label_1.npy
1,6,42,1,0,402.0,file_01_bag_006_label_1.npy
1,6,43,1,0,403.0,file_01_bag_006_label_1.npy
1,6,44,1,0,404.0,file_01_bag_006_label_1.npy
1,6,45,1,0,405.0,file_01_bag_006_label_1.npy
1,6,46,1,0,406.0,file_01_bag_006_label_1.npy
1,6,47,1,0,407.0,file_01_bag_006_label_1.npy
1,6,48,1,0,408.0,file_01_bag_006_label_1.npy
1,6,49,1,0,409.0,file_01_bag_006_label_1.npy
1,6,50,1,0,410.0,file_01_bag_006_label_1.npy
1,6,51,1,0,411.0,file_01_bag_006_label_1.npy
1,6,52,1,0,412.0,file_01_bag_006_label_1.npy
1,6,53,1,0,413.0,file_01_bag_006_label_1.npy
1,6,54,1,0,414.0,file_01_bag_006_label_1.npy
1,6,55,1,0,415.0,file_01_bag_006_label_1.npy
1,6,56,1,0,416.0,file_01_bag_006_label_1.npy
1,6,57,1,0,417.0,file_01_bag_006_label_1.npy
1,6,58,1,0,418.0,file_01_bag_006_label_1.npy
1,6,59,1,0,419.0,file_01_bag_006_label_1.npy
1,14,0,1,0,840.0,file_01_bag_014_label_1.npy
1,14,1,1,0,841.0,file_01_bag_014_label_1.npy
1,14,2,1,0,842.0,file_01_bag_014_label_1.npy
1,14,3,1,0,843.0,file_01_bag_014_label_1.npy
1,14,4,1,0,844.0,file_01_bag_014_label_1.npy
1,14,5,1,1,845.0,file_01_bag_014_label_1.npy
