bag_id,instance_idx,gt_label,attn_weight
file_06_bag_014,0,0,0.0008
file_06_bag_014,1,0,0.0008
file_06_bag_014,2,0,0.0008
file_06_bag_014,3,0,0.0008
file_06_bag_014,4,0,0.0008
file_06_bag_014,5,0,0.0007
file_06_bag_014,6,0,0.0007
file_06_bag_014,7,0,0.0007
file_06_bag_014,8,0,0.0006
file_06_bag_014,9,0,0.0002
file_06_bag_014,10,0,0.0448
file_06_bag_014,11,0,0.0007
file_06_bag_014,12,0,0.0006
file_06_bag_014,13,1,0.0204
file_06_bag_014,14,1,0.0146
file_06_bag_014,15,1,0.1908
file_06_bag_014,16,1,0.1827
file_06_bag_014,17,1,0.0007
file_06_bag_014,18,1,0.0005
file_06_bag_014,19,1,0.1522
file_06_bag_014,20,0,0.0347
file_06_bag_014,21,0,0.0134
file_06_bag_014,22,0,0.0005
file_06_bag_014,23,0,0.0088
file_06_bag_014,24,0,0.0004
file_06_bag_014,25,0,0.0189
file_06_bag_014,26,1,0.0014
file_06_bag_014,27,1,0.1067
file_06_bag_014,28,0,0.0008
file_06_bag_014,29,0,0.0008
file_06_bag_014,30,0,0.0008
file_06_bag_014,31,0,0.0008
file_06_bag_014,32,0,0.0008
file_06_bag_014,33,0,0.0007
file_06_bag_014,34,0,0.0052
file_06_bag_014,35,0,0.0171
file_06_bag_014,36,0,0.0001
file_06_bag_014,37,0,0.1007
file_06_bag_014,38,0,0.0565
file_06_bag_014,39,0,0.0008
file_06_bag_014,40,0,0.0008
file_06_bag_014,41,0,0.0008
file_06_bag_014,42,0,0.0008
file_06_bag_014,43,0,0.0008
file_06_bag_014,44,0,0.0008
file_06_bag_014,45,0,0.0008
file_06_bag_014,46,0,0.0008
file_06_bag_014,47,0,0.0008
file_06_bag_014,48,0,0.0009
file_06_bag_014,49,0,0.0008
file_06_bag_014,50,0,0.0008
file_06_bag_014,51,0,0.0008
file_06_bag_014,52,0,0.0008
file_06_bag_014,53,0,0.0008
file_06_bag_014,54,0,0.0008
file_06_bag_014,55,0,0.0008
file_06_bag_014,56,0,0.0008
file_06_bag_014,57,0,0.0008
file_06_bag_014,58,0,0.0008
file_06_bag_014,59,1,0.0007
file_06_bag_015,0,0,0.0033
file_06_bag_015,1,1,0.0047
file_06_bag_015,2,1,0.0036
file_06_bag_015,3,1,0.0693
file_06_bag_015,4,0,0.06
file_06_bag_015,5,0,0.054
file_06_bag_015,6,0,0.163
file_06_bag_015,7,1,0.0041
file_06_bag_015,8,1,0.0045
file_06_bag_015,9,1,0.0037
file_06_bag_015,10,1,0.0014
file_06_bag_015,11,1,0.0198
file_06_bag_015,12,1,0.0823
file_06_bag_015,13,1,0.0057
file_06_bag_015,14,0,0.3318
file_06_bag_015,15,0,0.0038
file_06_bag_015,16,0,0.0043
file_06_bag_015,17,0,0.0042
file_06_bag_015,18,0,0.0042
file_06_bag_015,19,0,0.0043
file_06_bag_015,20,0,0.0042
file_06_bag_015,21,0,0.0043
file_06_bag_015,22,0,0.0042
file_06_bag_015,23,0,0.0043
file_06_bag_015,24,0,0.0042
file_06_bag_015,25,0,0.0042
file_06_bag_015,26,0,0.0043
file_06_bag_015,27,0,0.0042
file_06_bag_015,28,0,0.0042
file_06_bag_015,29,0,0.0042
file_06_bag_015,30,0,0.0043
file_06_bag_015,31,0,0.0042
file_06_bag_015,32,0,0.0042
file_06_bag_015,33,0,0.0042
file_06_bag_015,34,0,0.0042
file_06_bag_015,35,0,0.0042
file_06_bag_015,36,0,0.0042
file_06_bag_015,37,0,0.0042
file_06_bag_015,38,0,0.0041
file_06_bag_015,39,0,0.0042
file_06_bag_015,40,0,0.0042
file_06_bag_015,41,0,0.0042
file_06_bag_015,42,0,0.0042
file_06_bag_015,43,0,0.0042
file_06_bag_015,44,0,0.0042
file_06_bag_015,45,0,0.0043
file_06_bag_015,46,0,0.0042
file_06_bag_015,47,0,0.0041
file_06_bag_015,48,1,0.0041
file_06_bag_015,49,1,0.0041
file_06_bag_015,50,1,0.0043
file_06_bag_015,51,1,0.0037
file_06_bag_015,52,1,0.004
file_06_bag_015,53,0,0.0043
file_06_bag_015,54,0,0.0042
file_06_bag_015,55,0,0.0042
file_06_bag_015,56,0,0.0042
file_06_bag_015,57,0,0.0042
file_06_bag_015,58,0,0.0042
