file_num,bag_idx,bag_start_sec,bag_end_sec,label,train_duration_in_bag_sec,audio_filename,audio_duration_sec,sample_rate
3,0,0.0,60.0,0,0.0,Ori_Recording_03.wav,1799.97,576000
3,1,60.0,120.0,0,0.0,Ori_Recording_03.wav,1799.97,576000
3,2,120.0,180.0,0,0.0,Ori_Recording_03.wav,1799.97,576000
3,3,180.0,240.0,0,0.0,Ori_Recording_03.wav,1799.97,576000
3,4,240.0,300.0,0,0.0,Ori_Recording_03.wav,1799.97,576000
3,5,300.0,360.0,0,0.0,Ori_Recording_03.wav,1799.97,576000
3,6,360.0,420.0,0,0.0,Ori_Recording_03.wav,1799.97,576000
3,7,420.0,480.0,0,0.0,Ori_Recording_03.wav,1799.97,576000
3,8,480.0,540.0,0,0.0,Ori_Recording_03.wav,1799.97,576000
3,9,540.0,600.0,0,0.0,Ori_Recording_03.wav,1799.97,576000
3,10,600.0,660.0,0,0.0,Ori_Recording_03.wav,1799.97,576000
3,11,660.0,720.0,0,0.0,Ori_Recording_03.wav,1799.97,576000
3,12,720.0,780.0,0,0.0,Ori_Recording_03.wav,1799.97,576000
3,13,780.0,840.0,0,0.0,Ori_Recording_03.wav,1799.97,576000
3,14,840.0,900.0,1,3.1709,Ori_Recording_03.wav,1799.97,576000
3,15,900.0,960.0,1,1.8798,Ori_Recording_03.wav,1799.97,576000
3,16,960.0,1020.0,1,1.5804,Ori_Recording_03.wav,1799.97,576000
3,17,1020.0,1080.0,1,0.4888,Ori_Recording_03.wav,1799.97,576000
3,18,1080.0,1140.0,0,0.0,Ori_Recording_03.wav,1799.97,576000
3,19,1140.0,1200.0,0,0.0,Ori_Recording_03.wav,1799.97,576000
3,20,1200.0,1260.0,1,2.0266,Ori_Recording_03.wav,1799.97,576000
3,21,1260.0,1320.0,0,0.0,Ori_Recording_03.wav,1799.97,576000
3,22,1320.0,1380.0,0,0.0,Ori_Recording_03.wav,1799.97,576000
3,23,1380.0,1440.0,0,0.0,Ori_Recording_03.wav,1799.97,576000
3,24,1440.0,1500.0,0,0.0,Ori_Recording_03.wav,1799.97,576000
3,25,1500.0,1560.0,0,0.0,Ori_Recording_03.wav,1799.97,576000
3,26,1560.0,1620.0,0,0.0,Ori_Recording_03.wav,1799.97,576000
3,27,1620.0,1680.0,0,0.0,Ori_Recording_03.wav,1799.97,576000
3,28,1680.0,1740.0,0,0.0,Ori_Recording_03.wav,1799.97,576000
