file_num,bag_idx,bag_start_sec,bag_end_sec,label,train_duration_in_bag_sec,audio_filename,audio_duration_sec,sample_rate
2,0,0.0,60.0,1,17.47,Ori_Recording_02.wav,1799.95,576000
2,1,60.0,120.0,1,4.9026,Ori_Recording_02.wav,1799.95,576000
2,2,120.0,180.0,1,6.5035,Ori_Recording_02.wav,1799.95,576000
2,3,180.0,240.0,0,0.0,Ori_Recording_02.wav,1799.95,576000
2,4,240.0,300.0,0,0.0,Ori_Recording_02.wav,1799.95,576000
2,5,300.0,360.0,0,0.0,Ori_Recording_02.wav,1799.95,576000
2,6,360.0,420.0,0,0.0,Ori_Recording_02.wav,1799.95,576000
2,7,420.0,480.0,0,0.0,Ori_Recording_02.wav,1799.95,576000
2,8,480.0,540.0,0,0.0,Ori_Recording_02.wav,1799.95,576000
2,9,540.0,600.0,1,4.3813,Ori_Recording_02.wav,1799.95,576000
2,10,600.0,660.0,1,7.1381,Ori_Recording_02.wav,1799.95,576000
2,11,660.0,720.0,1,6.2344,Ori_Recording_02.wav,1799.95,576000
2,12,720.0,780.0,1,3.7521,Ori_Recording_02.wav,1799.95,576000
2,13,780.0,840.0,1,10.0687,Ori_Recording_02.wav,1799.95,576000
2,14,840.0,900.0,1,20.8368,Ori_Recording_02.wav,1799.95,576000
2,15,900.0,960.0,1,1.4195,Ori_Recording_02.wav,1799.95,576000
2,16,960.0,1020.0,1,4.5702,Ori_Recording_02.wav,1799.95,576000
2,17,1020.0,1080.0,1,4.0639,Ori_Recording_02.wav,1799.95,576000
2,18,1080.0,1140.0,1,7.2342,Ori_Recording_02.wav,1799.95,576000
2,19,1140.0,1200.0,1,1.9436,Ori_Recording_02.wav,1799.95,576000
2,20,1200.0,1260.0,1,1.0407,Ori_Recording_02.wav,1799.95,576000
2,21,1260.0,1320.0,0,0.0,Ori_Recording_02.wav,1799.95,576000
2,22,1320.0,1380.0,0,0.0,Ori_Recording_02.wav,1799.95,576000
2,23,1380.0,1440.0,1,16.973,Ori_Recording_02.wav,1799.95,576000
2,24,1440.0,1500.0,1,3.0358,Ori_Recording_02.wav,1799.95,576000
2,25,1500.0,1560.0,1,8.3193,Ori_Recording_02.wav,1799.95,576000
2,26,1560.0,1620.0,1,2.2005,Ori_Recording_02.wav,1799.95,576000
2,27,1620.0,1680.0,1,3.8047,Ori_Recording_02.wav,1799.95,576000
2,28,1680.0,1740.0,1,1.0898,Ori_Recording_02.wav,1799.95,576000
